present,past,translation
be,was,ser
be called,were called
bring,brought,traer
buy,bought,comprar
can,could,poder
catch,caught,atrapar
choose,chose,elegir
come,came,venir
do,did,hacer
draw,drew,dibujar
drink,drank,beber
drive,drove,conducir
eat,ate,comer
fall,fell,caer
find,found,encontrar
fly,flew,volar
get,got,conseguir
give,gave,dar
go,went,ir
go shopping,went shopping,ir de compras
have,had,tener
hide,hid,esconder 
hit,hit,golpear
hold,held,sostener
hurt,hurt,herir
know,knew,saber
learn,learned,aprender
lose,lost,perder
make,made,hacer
mean,meant,significar
must,had to,deber
put,poner,put
read,read,leer
ride,rode,cabalgar
run,ran,correr
say,said,decir
see,saw,ver
put on,put on,poner en
read,read,leer
ride,rode,cabalgar
run,ran,correr
say,said,decir
see,saw,ver
sing,sang,cantar
sit,sat,sentarse
sleep,slept,dormir
spell,spelled,deletrear
stand,stood,pararse
swim,swan,nadar
take,took,llevar
take a photo,took a photo,tomar foto
take off,took off,despegar
tell,told,decir
think,thought,pensar
throw,threw,tirar
understand,understood
wake up,woke up,despertar
wear,wore,tener puesto
write,wrote,escribir

